,title,discountedPrice,imgUrl,actualPrice,rating
0,Lenovo IdeaPad S540 10th Gen Intel Core i5 15.6 inch Full HD IPS Thin and Light Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/MS Office 2019/NVIDIA MX250 2GB GDDR5 Graphics/Mineral Grey/1.8Kg) 81NG00BVIN,"60,990",https://m.media-amazon.com/images/I/911dhIY2SCL._AC_UY218_.jpg,"₹60,990",4.5 out of 5 stars
1,"Dell Vostro 3401 14"" FHD Anti Glare Display Laptop (i3-1005G1 / 8GB / 1TB / Integrated Graphics / 1 Yr NBD / Win 10 + MS Office/ Dune Color/1.58Kg) D552126WIN9DE","38,790",https://m.media-amazon.com/images/I/51CEknIIHcL._AC_UY218_.jpg,"₹38,790",3.7 out of 5 stars
2,"Lenovo Ideapad Slim 3i 10th Gen Intel Core i3 14 inch FHD Thin and Light Laptop (8GB/256GB/Windows 10/MS Office/Grey/1.6Kg), 81WD0045IN","36,990",https://m.media-amazon.com/images/I/61s7sJEpsVL._AC_UY218_.jpg,"₹36,990",4.0 out of 5 stars
3,"Acer Acer One Intel Pentium Gold 4415U Processor 14-inch Display 1366 x 768 Laptop (4 GB Ram/1TB HDD/Windows 10 Home/Integrated Graphics/Black/1.8kgs), Z2-485","27,500",https://m.media-amazon.com/images/I/61S1y24GgmL._AC_UY218_.jpg,"₹27,500",3.5 out of 5 stars
4,"Dell Inspiron 3505 15.6"" FHD Display Laptop (R3-3250U / 8GB / 256GB SSD / Integrated Graphics / Win 10 + MSO / Accent Black) D560428WIN9BE","34,898",https://m.media-amazon.com/images/I/51MKXqHKBQL._AC_UY218_.jpg,"₹34,898",
5,"Dell Vostro 3405 14"" HD AG Display Laptop (AMD Silver 3050U / 4GB / 256 SSD / Integrated Graphics / Win 10 + MSO/ Black) D552147WIN9BE","28,990",https://m.media-amazon.com/images/I/71lLCZdrt2L._AC_UY218_.jpg,"₹28,990",4.5 out of 5 stars
6,"Mi Notebook 14 Intel core i3-10110U 10th Gen FHD Ultra Thin and Light Laptop (8GB/256GB SSD/Windows 10, Home/Intel UHD Graphics/Silver/1.5Kg), XMA1901-FI","37,499",https://m.media-amazon.com/images/I/71zlGU1N2iL._AC_UY218_.jpg,"₹37,499",4.2 out of 5 stars
7,"HP Pavilion (2021) Thin & Light 11th Gen Core i5 Laptop, 16 GB RAM, 512GB SSD, Iris Xe Graphics, 14-inch FHD Screen, Windows 10, MS Office, Backlit Keyboard","62,990",https://m.media-amazon.com/images/I/71hmqIQJFdL._AC_UY218_.jpg,"₹62,990",4.3 out of 5 stars
8,"Lenovo Ideapad Slim 3 AMD Ryzen 3 3500U 15.6 FHD Thin and Light Laptop (8GB/1TB/Windows/Office/Platinum Grey/1.85Kg), 81W1003EIN","36,990",https://m.media-amazon.com/images/I/71OK3BgIRYL._AC_UY218_.jpg,"₹36,990",
9,"ASUS VivoBook 15 Intel Celeron N3350 15.6-inch HD Laptop (4GB RAM/1TB HDD/Windows 10/Integrated Graphics/Black/2.0 kg), X540NA-GQ285T",,https://m.media-amazon.com/images/I/81EbdwReBLL._AC_UY218_.jpg,,3.5 out of 5 stars
