,title,discountedPrice,imgUrl,actualPrice,rating
29,"HP Chromebook 14a-na0003TU 14-inch Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver","24,983",https://m.media-amazon.com/images/I/613WULNEr1L._AC_UY218_.jpg,"₹24,983",3.6 out of 5 stars
30,Lenovo IdeaPad D330 Intel Celeron N4000 10.1-inch HD IPS 2-in-1 Touchscreen Detachable Laptop (4GB/128GB eMMC/Win10/Lenovo Active Pen Stylus/Front +Rear Camera/HD Audio/Mineral Grey/1.14Kg) 81H3S01S00,"23,550",https://m.media-amazon.com/images/I/61+ZQMKTj0L._AC_UY218_.jpg,"₹23,550",3.7 out of 5 stars
31,"HP 15 AMD Athlon 15.6-inch HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au","27,432",https://m.media-amazon.com/images/I/41mj48h+hZL._AC_UY218_.jpg,"₹27,432",2.5 out of 5 stars
32,"Lenovo Ideapad Slim 3 AMD Ryzen 3 15.6 inch Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81W10057IN","28,990",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,"₹28,990",3.4 out of 5 stars
33,Dell Vostro 3401 14inch FHD Anti Glare 2 Side Narrow Border Display Laptop (10th gen i3-1005G1 / 4GB / 1TB / Integrated Graphics/ Win 10 + MSO/ Black) D552124WIN9BE,"35,290",https://m.media-amazon.com/images/I/8147cwFm2PL._AC_UY218_.jpg,"₹35,290",3.5 out of 5 stars
34,"Lenovo E41-45 (82BF000JIH) Laptop (AMD A6-7350B/ 4GB RAM/ 1TB HDD/ Win 10 Home SL/ 14 Inch Screen), 1 Year Warranty","22,590",https://m.media-amazon.com/images/I/41T2Oimq0AL._AC_UY218_.jpg,"₹22,590",3.5 out of 5 stars
35,"Dell Inspiron 3505 15.6"" HD Anti Glare Display Laptop (Athlon Gold 3150U / 4GB / 256 SSD / Integrated Graphics / Win 10 + MS Office / Accent Black) D560343WIN9BE","31,990",https://m.media-amazon.com/images/I/71tJecS6jjL._AC_UY218_.jpg,"₹31,990",3.5 out of 5 stars
39,"Lenovo V15 Intel Core i5 10th Gen 15-inch Full HD Thin and Light Laptop (8GB RAM/ 256GB SSD/ Windows 10 Home/ Grey/ 1.85 kg), 82C500PFIH","46,777",https://m.media-amazon.com/images/I/71cd41RWSNL._AC_UY218_.jpg,"₹46,777",3.7 out of 5 stars
42,"Lenovo Ideapad Slim 3 10th Gen Intel Core i5 15.6 inch FHD Thin and Light Laptop (8GB/1TB/Windows 10/Grey/1.85Kg), 81WE007UIN","42,990",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,"₹42,990",3.6 out of 5 stars
43,"Acer Aspire 3 Ryzen 3 3200U 15.6"" - (4 GB/1TB HDD/Windows 10 Home/AMD Radeon Vega 3 Mobile Graphics /1.9Kg/Black) A315-42","27,990",https://m.media-amazon.com/images/I/718QD+zGlCL._AC_UY218_.jpg,"₹27,990",4.4 out of 5 stars
44,"HP Pavilion x360 Touchscreen 2-in-1 FHD 14-inch Laptop (10th Gen Core i3-10110U/8GB/512GB SSD/Win 10/MS Office/Mineral Silver/1.58 kg), 14-dh1178tu","49,439",https://m.media-amazon.com/images/I/617clKqAqiL._AC_UY218_.jpg,"₹49,439",4.3 out of 5 stars
47,"Lenovo Ideapad S145 Intel Core i3 10th Gen 15.6 inch FHD Thin and Light Laptop (8GB/256 GB SSD/Windows 10/Office 2019/Grey/1.85Kg), 81W800B1IN","35,990",https://m.media-amazon.com/images/I/81EoCoV-8tL._AC_UY218_.jpg,"₹35,990",3.8 out of 5 stars
50,"Lenovo IdeaPad Slim 3 AMD Athlon Silver 3050U 15.6 inch HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Integrated AMD Radeon Graphics/Platinum Grey/1.85Kg), 81W100W9IN","27,999",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,"₹27,999",3.0 out of 5 stars
51,"HP 14 Thin & Light 14-inch FHD Laptop (11th Gen Intel i5-1135G7/8GB/512GB SSD/Windows 10/MS Office 2019/Alexa Built-in/Pale Gold/1.47 kg), 14s-dr2006TU","59,292",https://m.media-amazon.com/images/I/81qlKbTuQXL._AC_UY218_.jpg,"₹59,292",3.8 out of 5 stars
53,"HP Notebook 250 G7 Laptop 2A9A5PA#ACJ (Intel Celeron N4020/4GB Ram/1TB HDD/15.6 inch HD/Windows 10/Intel UHD Graphics/1.78Kg),Dark Ash Silver","27,400",https://m.media-amazon.com/images/I/91KI7EcBzKL._AC_UY218_.jpg,"₹27,400",3.5 out of 5 stars
54,"Acer One 14 Pentium Dual Core - (4 GB/1 TB HDD/Windows 10 Home) Z2-485 Thin and Light Laptop (14 inch, Silver, 1.8 kg)","23,990",https://m.media-amazon.com/images/I/61xkZLrtL9L._AC_UY218_.jpg,"₹23,990",2.7 out of 5 stars
58,HP 245 G7 Laptop 2D8C6PA (AMD Ryzen 3-3300U/4GB Ram/ 1TB HDD/ 14.0 inch HD /Windows-10/AMD Radeon Vega 6 Graphics/ Dark Ash Silver/1.52Kg),"30,500",https://m.media-amazon.com/images/I/91-L0ug+WQL._AC_UY218_.jpg,"₹30,500",3.6 out of 5 stars
59,"Dell Vostro 3405 14"" FHD AG Display Laptop (Ryzen-5 3500U / 8GB / 512 SSD / Vega 8 Graphics / Win 10 + Office H&S/ Dune Color) D552122WIN9DE","46,190",https://m.media-amazon.com/images/I/51CEknIIHcL._AC_UY218_.jpg,"₹46,190",4.1 out of 5 stars
